      name, length, hash/s
       MD5,     10, 126582
       MD5,     25, 178571
       MD5,     50, 169491
       MD5,     75, 131578
       MD5,    100, 121951
       MD5,    250,  69444
       MD5,    500,  44052
       MD5,    750,  30864
       MD5,   1000,  23419
       MD5,   2500,  10152
       MD5,   5000,   5279
       MD5,   7500,   3521
       MD5,  10000,   2656
      SHA1,     10, 166666
      SHA1,     25, 200000
      SHA1,     50, 181818
      SHA1,     75, 151515
      SHA1,    100, 136986
      SHA1,    250,  84033
      SHA1,    500,  52910
      SHA1,    750,  38461
      SHA1,   1000,  29585
      SHA1,   2500,  12804
      SHA1,   5000,   6715
      SHA1,   7500,   4484
      SHA1,  10000,   3389
    SHA256,     10, 131578
    SHA256,     25, 166666
    SHA256,     50, 153846
    SHA256,     75, 129870
    SHA256,    100, 119047
    SHA256,    250,  75187
    SHA256,    500,  49261
    SHA256,    750,  35587
    SHA256,   1000,  27777
    SHA256,   2500,  12330
    SHA256,   5000,   6506
    SHA256,   7500,   4385
    SHA256,  10000,   3290
    SHA512,     10,  31545
    SHA512,     25,  32894
    SHA512,     50,  33444
    SHA512,     75,  31347
    SHA512,    100,  31847
    SHA512,    250,  15847
    SHA512,    500,  10405
    SHA512,    750,   8841
    SHA512,   1000,   6849
    SHA512,   2500,   2932
    SHA512,   5000,   1531
    SHA512,   7500,   1033
    SHA512,  10000,    783
      SHA3,     10,  23529
      SHA3,     25,  24213
      SHA3,     50,  24096
      SHA3,     75,  13037
      SHA3,    100,  13386
      SHA3,    250,   7112
      SHA3,    500,   4177
      SHA3,    750,   2697
      SHA3,   1000,   2145
      SHA3,   2500,    864
      SHA3,   5000,    441
      SHA3,   7500,    292
      SHA3,  10000,    221
 RIPEMD160,     10,  87719
 RIPEMD160,     25,  90909
 RIPEMD160,     50,  86206
 RIPEMD160,     75,  75187
 RIPEMD160,    100,  68965
 RIPEMD160,    250,  49019
 RIPEMD160,    500,  28089
 RIPEMD160,    750,  26385
 RIPEMD160,   1000,  20790
 RIPEMD160,   2500,   9633
 RIPEMD160,   5000,   5096
 RIPEMD160,   7500,   3455
 RIPEMD160,  10000,   2605